First Last,First,Last,Company,Domain
Paul Hedrick,Paul,Hedrick,"Tecovas, Inc.",www.tecovasboots.com
Mike Cirker,Mike,Cirker,"Alpha Industries, Inc.",www.alphaindustries.com
Merlin Clarke,Merlin,Clarke,Dogeared Inc.,www.dogeared.com
Amanda Jane Thomas,Amanda,Thomas,Amanda Jane Thomas,www.luvaj.com
Jarah Emerson,Jarah,Emerson,Gear Collective LLC,www.gearcollectivenyc.com
Gwendolyn Floyd,Gwendolyn,Floyd,"Soko, Inc.",www.shopsoko.com
Carly Burnett,Carly,Burnett,Tkees,www.tkees.com
Teri Jenkins,Teri,Jenkins,Diamond T Embroidery,www.diamondtembroidery.com
George Hoffman,George,Hoffman,"Fineline Technologies, Inc.",www.finelinetech.com
Jeff Steitz,Jeff,Steitz,Serengetee LLC,www.serengetee.com
Julie Feldman,Julie,Feldman,Julie Feldman Designs,www.juliefeldmandesigns.com
Lillian Chor,Lillian,Chor,Baglanti Llc,www.baglantijewelry.com
James Kitchens,James,Kitchens,Sage Clothing,www.sageclothing.com
Greg Tomlinson,Greg,Tomlinson,VonZipper,www.vonzipper.com
Lee Cottone,Lee,Cottone,The Embroidery Store,www.tesapparel.com
Marina Carroll,Marina,Carroll,BleuFlamme LLC,www.originalstitch.com
Scott Nelson,Scott,Nelson,"Local Team Shop, Ltd.",www.localteamshop.com
Zach Scheimer,Zach,Scheimer,Criquet Shirts LLC,www.criquetshirts.com
Kevin Boynton,Kevin,Boynton,Abraxas Jewelers,www.abraxasjewelers.com
Rob Brandegee,,,"Little Earth Productions, Inc",www.littlearth.com
